year,mon,day,hour,minute,latitude,longitude
2020,08,11,19,44,62.71230666666667,7.0241983333333335
2020,08,06,07,24,70.96829833333334,24.34599
2020,08,05,23,14,71.08399666666666,27.885661666666667
2020,08,14,19,14,69.99519,20.378688333333333
2020,08,13,12,54,67.288875,14.394888333333334
2020,08,05,03,44,70.099805,30.410338333333332
2020,08,05,05,24,70.07097166666667,29.736703333333335
2020,08,04,17,14,71.13047666666667,27.74513
2020,08,13,06,44,66.691955,13.156531666666666
2020,08,13,07,24,66.81201,13.48183
2020,08,09,23,34,62.42523666666666,5.879908333333334
2020,08,03,05,14,68.79950333333333,16.550056666666666
2020,08,14,14,44,69.646495,18.960575
2020,08,03,18,24,69.958785,19.637115
2020,08,13,23,04,68.571225,14.911451666666666
2020,08,03,09,44,69.25284333333333,17.977371666666667
2020,08,11,17,14,62.475728333333336,6.152395
2020,08,13,06,04,66.54292333333333,13.00024
2020,08,09,10,44,63.540886666666665,9.249521666666666
2020,08,02,16,04,67.79825333333334,14.121333333333334
2020,08,15,09,34,70.98072666666667,25.969655
2020,08,07,18,44,68.22880833333333,14.567088333333333
2020,08,06,18,24,70.05658333333334,20.880648333333333
2020,08,07,01,24,69.46131,18.11423
2020,08,05,05,54,70.01042166666667,29.791986666666666
2020,08,13,07,54,66.86175333333334,13.692963333333333
2020,08,05,15,24,70.38534833333334,31.106791666666666
2020,08,08,02,34,67.28393666666666,14.358978333333333
2020,08,10,02,04,62.19292333333333,5.082543333333334
2020,08,02,20,24,68.23091333333333,14.566708333333333
2020,08,10,00,24,62.33674333333333,5.728601666666667
2020,08,11,10,24,62.44188333333334,6.82159
2020,08,12,17,24,64.34154833333334,10.444455
2020,08,09,22,54,62.475725,6.15239
2020,08,09,01,54,63.737435,9.375055
2020,08,06,18,44,70.02583333333334,20.650241666666666
2020,08,06,20,04,69.861255,19.782933333333332
2020,08,14,04,34,68.798605,16.549456666666668
2020,08,11,00,44,61.46086,4.950046666666666
2020,08,06,08,14,70.81012666666666,23.822786666666666
2020,08,14,05,44,68.79951166666666,16.55007
2020,08,07,16,54,68.23066833333333,14.566935
2020,08,09,20,54,62.630736666666664,6.519645
2020,08,11,05,24,62.21863333333334,5.147286666666667
2020,08,02,19,04,68.19470833333334,14.477813333333334
2020,08,04,03,54,70.66496833333333,23.68034
2020,08,10,09,54,60.82406833333334,4.7398066666666665
2020,08,09,08,24,63.470036666666665,10.152135
2020,08,08,10,44,66.02614,12.640771666666666
2020,08,06,16,14,70.30744833333334,21.433236666666666
2020,08,15,04,54,70.78728166666667,23.755716666666668
2020,08,04,09,34,70.98073666666667,25.969621666666665
2020,08,02,11,44,67.288845,14.394875
2020,08,09,11,14,63.48558666666667,9.016485
2020,08,11,06,34,62.317056666666666,5.6676633333333335
2020,08,03,10,14,69.33983333333333,18.061841666666666
2020,08,08,20,54,64.71604,10.875341666666667
2020,08,08,07,44,66.48725,12.987308333333333
2020,08,15,07,24,70.99612166666667,24.742878333333334
2020,08,04,12,24,70.98074333333334,25.969618333333333
2020,08,06,21,04,69.76592833333333,19.123871666666666
2020,08,07,19,54,68.11086666666667,13.967005
2020,08,03,11,54,69.57626,18.822963333333334
2020,08,09,02,44,63.64853166666666,9.669848333333332
2020,08,04,15,54,70.95577833333333,27.299828333333334
2020,08,08,06,34,66.74148166666667,13.204391666666666
2020,08,07,19,04,68.18375166666667,14.389818333333332
2020,08,15,08,14,70.97470166666666,25.391311666666667
2020,08,04,05,14,70.84166833333333,23.934358333333332
2020,08,05,08,04,69.72888,30.07115
2020,08,09,03,14,63.577101666666664,9.83335
2020,08,04,04,54,70.76917166666667,23.697071666666666
2020,08,08,08,34,66.275875,12.915885
2020,08,13,12,04,67.28887666666667,14.394878333333333
2020,08,04,21,14,70.86470666666666,29.262345
2020,08,09,16,04,63.06792166666666,7.390231666666667
2020,08,15,09,04,70.97188333333334,25.93725166666667
2020,08,12,16,54,64.24505333333333,10.284923333333333
2020,08,09,05,34,63.44358833333333,10.407453333333333
2020,08,10,04,04,61.86877,5.23829
2020,08,09,08,54,63.505163333333336,9.914945
2020,08,02,10,54,67.25722333333333,14.27509
2020,08,04,13,34,70.96527833333333,26.054478333333332
2020,08,04,01,34,70.41387833333333,22.522113333333333
2020,08,12,03,04,63.40036333333333,8.544665
2020,08,07,15,44,68.328985,14.973833333333333
2020,08,06,23,14,69.64648666666666,18.96056
2020,08,06,22,54,69.6465,18.960576666666668
2020,08,07,02,54,69.22742666666667,17.96378
2020,08,08,05,04,66.87343666666666,13.689965
2020,08,02,19,24,68.23063666666667,14.567116666666667
2020,08,09,06,24,63.44359,10.40747
2020,08,03,02,34,68.92406666666666,15.587503333333334
2020,08,03,03,24,68.978215,15.753933333333332
2020,08,11,06,54,62.33674166666667,5.728613333333334
2020,08,12,11,24,63.44399,10.407818333333333
2020,08,03,08,34,69.16106833333333,17.913516666666666
2020,08,13,10,44,67.286195,14.369968333333333
2020,08,10,09,04,61.022641666666665,4.754838333333334
2020,08,06,11,24,70.65096666666666,23.537133333333333
2020,08,08,11,24,65.92281833333334,12.38601
2020,08,15,05,34,70.89216833333333,24.101031666666668
2020,08,07,22,34,67.68749666666666,14.221956666666667
2020,08,14,13,44,69.64649333333334,18.960581666666666
2020,08,05,03,24,70.16045666666666,30.661846666666666
2020,08,10,07,14,61.43339666666667,4.880321666666666
2020,08,14,06,44,68.93052833333333,17.018176666666665
2020,08,14,09,34,69.22892,17.969985
2020,08,06,19,04,69.99778,20.364228333333333
2020,08,09,16,44,63.015436666666666,7.044046666666667
2020,08,12,20,54,64.88566333333333,11.309758333333333
2020,08,13,11,04,67.28833333333333,14.395
2020,08,15,06,04,70.98040333333333,24.392385
2020,08,05,14,14,70.37476833333334,31.10482
2020,08,04,22,34,70.63385,29.74815
2020,08,04,20,24,70.86755166666667,29.13636
2020,08,13,02,14,65.92159,12.387748333333333
2020,08,09,00,04,64.15404333333333,9.65704
2020,08,08,12,24,65.68369833333334,12.265593333333333
2020,08,05,07,24,69.728925,30.071108333333335
2020,08,11,16,24,62.42178333333333,6.056873333333334
2020,08,11,11,24,62.236776666666664,7.0201633333333335
2020,08,02,17,34,68.12092333333334,13.839541666666667
2020,08,02,13,04,67.288855,14.394891666666666
2020,08,03,16,54,69.68368166666667,19.0299
2020,08,03,06,04,68.83683666666667,16.69267333333333
2020,08,02,14,34,67.45542333333333,14.405356666666666
2020,08,10,00,34,62.32559166666667,5.749713333333333
2020,08,04,11,14,70.980725,25.969628333333333
2020,08,07,12,44,68.57124833333333,14.911468333333334
2020,08,13,09,34,67.068765,13.900218333333333
2020,08,07,16,24,68.22940333333334,14.772058333333334
2020,08,06,20,44,69.79335166666667,19.330141666666666
2020,08,11,23,24,63.048991666666666,7.318538333333334
2020,08,07,19,14,68.16257333333333,14.302571666666667
2020,08,09,07,54,63.443405,10.372588333333333
2020,08,08,14,04,65.47572833333334,12.210443333333334
2020,08,08,11,14,65.95047833333334,12.425121666666668
2020,08,08,05,54,66.82054166666667,13.549295
2020,08,14,09,44,69.232545,17.964575
2020,08,11,12,34,62.103785,7.19249
2020,08,14,09,24,69.22891333333334,17.970013333333334
2020,08,12,12,54,63.59520666666667,9.819648333333333
2020,08,03,08,24,69.15350166666667,17.862776666666665
2020,08,04,16,44,71.08584333333333,27.390905
2020,08,06,08,04,70.84376666666667,23.933951666666665
2020,08,06,14,24,70.23721333333333,22.349233333333334
2020,08,12,14,34,63.834855,9.626
2020,08,02,13,24,67.28885666666666,14.39489
2020,08,15,16,14,71.10328666666666,27.466273333333334
2020,08,09,22,44,62.475725,6.1523916666666665
2020,08,04,11,34,70.98072833333333,25.969625
2020,08,14,06,14,68.84833166666667,16.732673333333334
2020,08,05,11,44,69.93488,30.262815
2020,08,04,17,54,71.04166666666667,27.843333333333334
