year,mon,day,hour,minute,latitude,longitude,delta_lat,delta_lon,delta_pos
2020,8,3,7,14,69.0082133333333,17.2738016666667,0.027,0.080,0.084
2020,8,3,7,24,69.0284433333333,17.3070316666667,0.020,0.033,0.039
2020,8,3,7,34,69.0624933333333,17.3633783333333,0.034,0.056,0.066
2020,8,3,7,44,69.089995,17.4298883333333,0.028,0.067,0.072
2020,8,3,7,54,69.10495,17.52871,0.015,0.099,0.100
2020,8,3,8,4,69.120065,17.6333316666667,0.015,0.105,0.106
2020,8,3,8,14,69.135875,17.7419983333333,0.016,0.109,0.110
2020,8,3,8,24,69.1535016666667,17.8627766666667,0.018,0.121,0.122
2020,8,3,8,34,69.1610683333333,17.9135166666667,0.008,0.051,0.051
2020,8,3,8,44,69.1810533333333,18.0078383333333,0.020,0.094,0.096
2020,8,3,8,54,69.2146566666667,17.9860833333333,0.034,-0.022,0.040
2020,8,3,9,4,69.229705,17.9711116666667,0.015,-0.015,0.021
2020,8,3,9,14,69.228915,17.970065,-0.001,-0.001,0.001
2020,8,3,9,24,69.228915,17.97006,0.000,0.000,0.000
2020,8,3,9,34,69.22896,17.9629,0.000,-0.007,0.007
2020,8,3,9,44,69.2528433333333,17.9773716666667,0.024,0.014,0.028
2020,8,3,9,54,69.2927666666667,17.97568,0.040,-0.002,0.040
2020,8,3,10,4,69.3258616666667,18.0164783333333,0.033,0.041,0.053
2020,8,3,10,14,69.3398333333333,18.0618416666667,0.014,0.045,0.047
2020,8,3,10,24,69.3755766666667,18.0890883333333,0.036,0.027,0.045
2020,8,3,10,34,69.4137416666667,18.118605,0.038,0.030,0.048
2020,8,3,10,44,69.4607933333333,18.12439,0.047,0.006,0.047
2020,8,3,10,54,69.48726,18.21662,0.026,0.092,0.096
2020,8,3,11,4,69.5034216666667,18.3243583333333,0.016,0.108,0.109
2020,8,3,11,14,69.5105283333333,18.3765666666667,0.007,0.052,0.053
2020,8,3,11,24,69.5248683333333,18.4864566666667,0.014,0.110,0.111
2020,8,3,11,34,69.540415,18.6014533333333,0.016,0.115,0.116
2020,8,3,11,44,69.5537316666667,18.71601,0.013,0.115,0.115
2020,8,3,11,54,69.57626,18.8229633333333,0.023,0.107,0.109
2020,8,3,12,4,69.6087616666667,18.9003183333333,0.033,0.077,0.084
2020,8,3,12,14,69.6395033333333,18.9561916666667,0.031,0.056,0.064
2020,8,3,12,24,69.6465016666667,18.9605666666667,0.007,0.004,0.008
2020,8,3,12,34,69.6464983333333,18.96058,0.000,0.000,0.000
2020,8,3,12,44,69.6465,18.9605866666667,0.000,0.000,0.000
2020,8,3,12,54,69.6465,18.9605933333333,0.000,0.000,0.000
2020,8,3,13,4,69.6465066666667,18.9605933333333,0.000,0.000,0.000
2020,8,3,13,14,69.6465033333333,18.9605866666667,0.000,0.000,0.000
2020,8,3,13,24,69.6464983333333,18.960595,0.000,0.000,0.000
2020,8,3,13,34,69.6464983333333,18.9605983333333,0.000,0.000,0.000
2020,8,3,13,44,69.6465,18.9605983333333,0.000,0.000,0.000
2020,8,3,13,54,69.6464966666667,18.9605983333333,0.000,0.000,0.000
2020,8,3,14,4,69.6464966666667,18.9606,0.000,0.000,0.000
2020,8,3,14,14,69.6465016666667,18.9606016666667,0.000,0.000,0.000
2020,8,3,14,24,69.6465016666667,18.960605,0.000,0.000,0.000
2020,8,3,14,34,69.6465016666667,18.9606016666667,0.000,0.000,0.000
2020,8,3,14,44,69.6465033333333,18.960595,0.000,0.000,0.000
2020,8,3,14,54,69.6465016666667,18.9606,0.000,0.000,0.000
2020,8,3,15,4,69.6465033333333,18.9606033333333,0.000,0.000,0.000
2020,8,3,15,14,69.6465066666667,18.9605966666667,0.000,0.000,0.000
